农乐988: 	山东:S-Ns 河北省:B-Ni 农林:I-Ni 科学院:I-Ni 植物保护:I-Ni 研究所:E-Ni 
农丰长茄: 	广东省:B-Ni 农业:I-Ni 科学院:I-Ni 蔬菜:I-Ni 研究所:E-Ni 
农华50: 	农华50:B-Ni 北京:I-Ni 金色:I-Ni 农华:I-Ni 种业:I-Ni 科技:I-Ni 有限公司:E-Ni 叶鞘:S-Nh 山西省:S-Ns 
农华9: 	叶鞘:S-Nh 
农华101: 	北京:B-Ni 金色:I-Ni 农华:I-Ni 种业:I-Ni 科技:I-Ni 有限公司:E-Ni 叶鞘:S-Nh 颖:S-Nh 北京:B-Ns 天津:I-Ns 河北:E-Ns 山西:S-Ns 辽宁:S-Ns 吉林:S-Ns 内蒙古:B-Ns 赤峰:I-Ns 地区:E-Ns 陕西:B-Ns 延安地区:E-Ns 山东:B-Ns 河南:E-Ns 驻马店:B-Ns 河北:E-Ns 陕西:B-Ns 关中:E-Ns 安徽:S-Ns 山西:B-Ns 运城地区:E-Ns 
农友208西瓜: 	
农大3494: 	北京市:S-Ns 京:S-Ns 京:S-Ns 
农大3138: 	叶鞘:S-Nh 
Q优6号: 	云南:B-Ns 贵州:I-Ns 重庆:E-Ns 武陵山:S-Ns 四川:B-Ns 平坝:E-Ns 陕西:S-Ns 
乒乓葡萄: 	中国:S-Ns 日本:S-Ns 日本:S-Ns 中国:S-Ns 
全优五二七: 	福建省:B-Ni 农科院:I-Ni 水稻:I-Ni 研究所:I-Ni 四川:I-Ni 农业大学:I-Ni 水稻:I-Ni 研究所:E-Ni 
农大棉9号: 	河北省:B-Ni 农林:I-Ni 科学院:I-Ni 植物保护:I-Ni 研究所:E-Ni 黄萎:S-Nh 河北省:S-Ns 
三北一一: 	中华人民共和国:B-Ni 农业部:E-Ni 四川:B-Ns 重庆:I-Ns 贵州:I-Ns 湖南:I-Ns 湖北:I-Ns 云南:I-Ns 平坝:E-Ns 
三青大棒香笋: 	
世纪甜: 	山西:B-Ni 迪丰:I-Ni 农业:I-Ni 科技开发:I-Ni 有限公司:I-Ni 山西省:I-Ni 农业:I-Ni 科学院:I-Ni 园艺:I-Ni 研究所:E-Ni 
世纪137: 	福建省:B-Ni 农科院:E-Ni 福建省:S-Ns 
T301: 	甘肃:B-Ns 武威:E-Ns 澳大利亚:S-Ns 
T302: 	
T优二七二: 	湖南省:S-Ns 
T优一五: 	湖南:B-Ni 怀化:I-Ni 奥谱隆:I-Ni 作物:I-Ni 育种:I-Ni 工程:I-Ni 研究所:E-Ni 长江:S-Ns 江西:B-Ns 湖南:I-Ns 安徽:I-Ns 浙江:E-Ns 
万吉晚包心大芥菜: 	叶柄:S-Nh 
五优376: 	广东省:B-Ni 农业:I-Ni 科学院:I-Ni 水稻:I-Ni 研究所:E-Ni 
五优613: 	湖南省:S-Ns 
五叶米冬瓜: 	
五优一三五: 	
先玉508: 	先玉508:B-Ni 玉米:I-Ni 品种:I-Ni 铁岭:I-Ni 先锋:I-Ni 种子:I-Ni 研究:I-Ni 有限公司:E-Ni 四川:B-Ns 重庆:I-Ns 湖南:I-Ns 湖北:I-Ns 贵州:I-Ns 云南:I-Ns 广西:I-Ns 平坝:E-Ns 
先玉696: 	北京:B-Ns 天津:I-Ns 河北:E-Ns 山西:B-Ns 吉林:I-Ns 内蒙古:I-Ns 赤峰:I-Ns 地区:E-Ns 陕西:B-Ns 延安地区:E-Ns 
先玉698: 	叶鞘:S-Nh 叶缘:S-Nh 辽宁抚顺:B-Ns 铁岭:I-Ns 本溪:E-Ns 中熟:S-Ns 
先玉738: 	铁岭:B-Ni 先锋:I-Ni 种子:I-Ni 研究:I-Ni 有限公司:E-Ni 河南省:S-Ns 
先甜五号: 	先甜5号:B-Ni 甜玉米:I-Ni 瑞士:I-Ni 先正达:I-Ni 泰国:I-Ni 公司:E-Ni 泰国:S-Ns 维萨:S-Nh 广东省:B-Ni 农作物:I-Ni 品种:I-Ni 审定:I-Ni 委员会:E-Ni 
兴农种子: 	湘潭市:S-Ns 
先正达408: 	中国:B-Ni 投资:I-Ni 有限公司:E-Ni 
兴滇4号: 	舒心:S-Nh 长江:B-Ns 黄河:E-Ns 诸省:B-Ns 福建省:I-Ns 黑龙江:I-Ns 广西:I-Ns 辽宁:I-Ns 内蒙:E-Ns 玉溪:B-Ns 地区:E-Ns 楚雄州:S-Ns 
兴滇一号: 	云南:B-Ns 贵州:I-Ns 四川:I-Ns 广西:I-Ns 黑龙江:I-Ns 甘肃:E-Ns 
Y两优689: 	黄亮:S-Nh 颖:S-Nh 
Y两优二零: 	华南:S-Ns 海南:B-Ns 广西:E-Ns 广东:B-Ns 中南:E-Ns 福建:S-Ns 
Y两优696: 	湖南省:S-Ns 叶鞘:S-Nh 
一丰113: 	四川省:B-Ni 农科院:I-Ni 作物:I-Ni 四川:I-Ni 一丰:I-Ni 种业:I-Ni 有限责任:I-Ni 公司:E-Ni 重庆市:B-Ni 农科院:E-Ni 
优I1501: 	江西:S-Ns 
元两优81: 	中强:S-Nh 广东省:S-Ns 
偃单8号: 	河北省:S-Ns 
中33: 	北京:S-Ns 河南省:B-Ni 农作物:I-Ni 品种:I-Ni 审定:I-Ni 委员会:E-Ni 河南:S-Ns 皖北:B-Ns 鲁西南:I-Ns 苏北:E-Ns 
中京优四七零: 	中国:B-Ni 种子:I-Ni 集团公司:E-Ni 
中优早3号: 	中优早3号:B-Ni 中国:I-Ni 水稻:I-Ni 研究所:I-Ni 湖南省:I-Ni 水稻:I-Ni 研究所:E-Ni 江西省:B-Ni 品种:I-Ni 审定:I-Ni 委员会:E-Ni 农业部:S-Ni 农业部:S-Ni 
中优161: 	
中农29号: 	中农29号:B-Ni 中国农业科学院:I-Ni 蔬菜:I-Ni 花卉:I-Ni 研究所:E-Ni 华北地区:S-Ns 
中作零二零一: 	中作零二零一:B-Ni 中国农业科学院:I-Ni 作物科学:I-Ni 研究所:E-Ni 京:S-Ns 北京:B-Ns 天津:I-Ns 河北:I-Ns 冀东:E-Ns 
中作9017: 	京:S-Ns 河北:B-Ns 保定:I-Ns 河南:I-Ns 郑州:I-Ns 山东:I-Ns 临沂:I-Ns 地区:E-Ns 
中优早81: 	中国:S-Ns 湖南省:B-Ni 衡阳市:I-Ni 早稻:E-Ni 衡阳市:S-Ns 湘早:S-Ns 衡阳市:S-Ns 湖南省:B-Ni 品种:I-Ni 审定:I-Ni 委员会:E-Ni 
中华隐子草: 	
中南优510: 	中南优510:B-Ni 江苏:I-Ni 中南:I-Ni 种业:I-Ni 科技:I-Ni 有限公司:E-Ni 中南:S-Ns 江苏省:S-Ns 江苏省:S-Ns 
中原单32: 	
中嘉早32号: 	中国:B-Ni 水稻:I-Ni 研究所:I-Ni 嘉兴市:I-Ni 农科院:E-Ni 
中棉所32: 	
中棉所33: 	山西省:S-Ns 
中棉所35: 	新疆:S-Ns 
中棉所34: 	美国:S-Ns 中国农业科学院:B-Ni 棉花:I-Ni 研究所:E-Ni 河南省:S-Ns 河南省:S-Ns 河南省:S-Ns 
中棉所36: 	天津市:B-Ni 新疆维吾尔自治区:I-Ni 全国:I-Ni 品种:I-Ni 审定:I-Ni 委员会:E-Ni 新疆:S-Ns 
中棉所38: 	
中棉所40: 	中棉所40:B-Ni 棉花:I-Ni 中国农科院:I-Ni 棉花:I-Ni 研究所:E-Ni 农业部:S-Ni 
中棉所42: 	
中棉所41: 	中棉所41:B-Ni 中国农科院:I-Ni 棉花:I-Ni 研究所:E-Ni 
中早4号: 	浙江省:S-Ns 中国:B-Ni 浙江省:I-Ni 农作物:I-Ni 品种:I-Ni 审定:I-Ni 委员会:E-Ni 
中棉所39: 	
中棉所43: 	新疆:S-Ns 
中棉所50: 	河南省:S-Ns 
中杂15号: 	
中棉所52: 	
中棉所44: 	
中棉所48: 	
中棉所45: 	
中棉所51: 	
中棉所55: 	中:S-Ns 
中棉所54: 	
中棉所59: 	浙江省:S-Ns 浙江省:S-Ns 
中棉所57: 	中:S-Ns 茸毛:S-Nh 
中棉所56: 	
中棉所60: 	
中棉所58: 	特克斯:B-Nh 马:E-Nh 山东:B-Ns 河北:I-Ns 河南:I-Ns 安徽:E-Ns 辽宁:B-Ns 甘肃:E-Ns 
中棉所66: 	
中棉所65: 	安徽:B-Ni 中:I-Ni 棉种:I-Ni 业:I-Ni 长江:I-Ni 有限责任:I-Ni 公司:E-Ni 
中棉所64: 	山东:B-Ns 河北:I-Ns 河南:I-Ns 安徽:E-Ns 晋北:B-Ns 辽宁:I-Ns 甘肃:E-Ns 
中棉所70: 	中棉所70:B-Ni 中国农业科学院:I-Ni 棉花:I-Ni 研究所:I-Ni 中国农业科学院:I-Ni 生物:I-Ni 技术:I-Ni 研究所:E-Ni 
中棉所73: 	
中棉所68: 	
中棉所74: 	山东:S-Ns 河南:S-Ns 
中棉所75: 	特克斯:B-Nh 马:E-Nh 
中江玉703: 	中江玉703:B-Ni 江苏:I-Ni 中:I-Ni 江:I-Ni 种业:I-Ni 股份:I-Ni 有限公司:E-Ni 中熟:S-Ns 江苏省:S-Ns 
